adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,revilla_bong,estrada_jinggoy,defensorsantiago_miriam,drilon_frank,enrile_juanponce_sr,cayetano_pia,marcos_ferdinand_jr,recto_ralph,sotto_tito,osmena_serge,lapid_lito,guingona_teofisto_iii,hontiveros_risa,biazon_rozzano_rufino,devenecia_jose_iii,remulla_gilbert_cesar,lim_danilo,roco_sonia,querubin_ariel,pimentel_gwendolyn,acosta_nereus_jr,lacson_alex,tamano_adel,osmena_emiliomario,maza_liza,ocampo_saturnino,tatad_francisco,lozada_jose_apolinario_jr,mitra_ramon,langit_rey,bello_silvestre_iii,lao_yasmin,papin_imelda,ople_susan,bautista_martin,plaza_rodolfo,bautista_jv,guico_ramon_jr,lambino_raul,villanueva_hector,ocampo_ramoncito,inocencio_ma_katherine,palparan_jovito_jr,tinsay_alexander,alonto_zafrullah,tamayo_reginald,espinosa_nanette,maambong_regalado,david_rizalito,albani_shariff,virgines_israel,paredes_zosimo,sison_adrian,imbong_jo_aurea,princesa_reynaldo,nikabulin_adz,caunan_henry,valdehuesa_manuel_jr,tarrazona_hector,rinoza_plazo_maria_gracia,lood_alma
405801000,405800000,400000000,Angono,Mun,26755,28262,25793,25117,23523,22787,20786,18189,21851,17216,13199,16126,16740,14461,12129,14185,11714,11853,11820,8772,8031,6982,6227,4306,7000,6736,6342,4068,3937,5904,2356,2641,2627,4211,2692,0,1636,4041,964,926,1151,1884,969,1488,571,764,548,531,394,239,632,504,466,344,452,429,173,154,171,158,122
405803000,405800000,400000000,Baras,Mun,9309,10481,7885,6767,7999,6240,6944,6042,7378,4035,5679,4317,3557,4323,3702,2943,3210,2866,2606,2084,2115,1809,1177,1450,1266,1741,1561,1265,1091,1688,716,591,914,710,620,516,503,276,286,372,459,373,408,396,178,218,194,182,182,107,178,151,155,144,147,137,78,48,63,48,52
405804000,405800000,400000000,Binangonan,Mun,50242,55418,43838,41546,42298,35197,35065,32680,40169,27789,26044,26349,24862,24609,21011,23462,16679,17081,15175,12779,15299,11948,8350,7582,12018,9961,10222,7378,5646,9758,2757,3897,5024,5197,3610,0,2769,2206,1325,1869,1966,3025,1294,2122,1198,1320,1090,1011,895,485,1077,929,914,657,857,887,369,269,275,260,202
405805000,405800000,400000000,Cainta,Mun,50013,54501,56936,57871,50249,50218,47527,40086,42945,41104,22962,38533,42635,35267,27352,28410,27791,30412,22786,18022,22807,19792,18868,9884,15403,13793,13855,9341,11549,14075,7688,7232,5157,10190,8689,0,3569,2887,3045,1630,2450,5632,2848,3932,1399,1775,1182,1009,833,523,1489,1446,1110,1078,1184,1034,393,450,335,463,246
405806000,405800000,400000000,Cardona,Mun,14536,15813,12088,9667,11738,10213,10663,8917,10288,6918,8029,6527,5397,5906,6414,5259,4362,3805,4110,3155,3163,3547,2683,1976,3109,2452,2257,1807,2214,2585,1061,1129,1196,2438,1008,0,859,654,501,511,459,527,354,283,215,395,288,360,300,142,212,163,397,195,190,149,141,97,84,59,65
405802000,405800000,400000000,City of Antipolo,City,131141,150366,126669,121475,120804,110000,109411,87608,105074,85132,66415,81042,79697,69402,67777,64719,67530,59305,57020,44466,42464,38839,30203,26529,36939,32616,34798,23345,19936,34799,12838,12391,14236,17798,13250,0,9448,6954,6425,5943,6597,9142,6608,6973,2947,4697,3444,3134,2363,1800,3018,2898,2927,2520,2410,2179,1092,0,0,997,738
405807000,405800000,400000000,Jala-Jala,Mun,8248,9414,6273,5249,7071,4652,5151,4630,4990,3055,3743,2834,2865,2654,2912,2692,2045,2185,1835,1881,1621,1785,878,1210,1433,1261,1092,1003,742,1097,255,648,687,673,559,398,432,677,167,286,236,261,243,210,132,184,186,181,143,80,139,99,152,83,125,79,63,43,39,50,25
405809000,405800000,400000000,Morong,Mun,15153,17427,13304,12275,12955,11693,11304,10384,11850,8170,9423,8794,7549,10634,7092,5485,5530,5209,4637,3810,3696,3555,2727,2130,2757,2577,2866,2266,1852,3237,804,1166,1387,1471,1257,549,829,419,797,512,553,674,479,540,277,406,283,257,280,143,263,223,237,162,243,211,110,117,92,103,60
405810000,405800000,400000000,Pililla,Mun,16355,18550,13298,12079,13636,11826,10934,10116,13745,7986,10276,7318,6747,6853,7273,5489,5280,4629,4651,4102,3293,3337,1973,2288,2453,2511,3314,2462,1950,3057,810,1082,2632,1614,1166,570,863,343,389,617,570,755,930,773,315,378,377,356,316,133,320,293,273,195,311,245,131,95,114,80,69
405808000,405800000,400000000,Rodriguez,Mun,50348,61144,47650,46047,47782,40501,43860,34811,44956,25302,33943,32670,25741,31035,22891,18898,21346,18962,18038,14414,13878,11968,9412,8954,12541,11357,11128,7539,6459,7930,3462,4047,4906,5309,4122,0,3299,1816,1481,1794,2197,3051,1643,2679,1218,1620,1020,1135,938,544,1213,901,897,569,885,884,365,298,254,280,200
