adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,alcantara_samson,angara_sonny,aquino_bam,belgica_greco,binay_nancy,casino_teddy,cayetano_alanpeter,cojuangco_tingting,david_lito,delosreyes_jc,ejercito_jv,enrile_juanponce_jr,escudero_chiz,falcone_bal,gordon_dick,hagedorn_ed,honasan_gringo,hontiveros_risa,legarda_loren,llasos_marwil,maceda_manong_ernie,madrigal_jamby,magsaysay_mitos,magsaysay_ramon_jr,montano_mon,penson_ricardo,pimentel_koko,poe_grace,seneres_christian,trillanes_antonio_iv,villanueva_eddie,villar_cynthia,zubiri_migz
806017000,806000000,800000000,Santa Rita,Mun,535,3676,4216,291,5645,891,4099,654,269,251,2913,2093,4887,291,1527,1076,2465,2641,5170,183,589,2064,1303,2927,425,283,3536,5380,162,2994,1606,2974,1759
806018000,806000000,800000000,Santo Ni?,Mun,53,323,387,25,411,63,486,41,36,32,262,221,378,35,175,164,199,188,441,20,65,246,129,269,41,34,309,504,14,234,155,360,192
806024000,806000000,800000000,Tagapul-An,Mun,63,1300,1398,57,503,65,1549,78,40,46,326,1048,1307,24,281,947,242,391,1455,17,82,390,155,881,45,32,1115,1488,32,835,343,1527,1059
806019000,806000000,800000000,Talalora,Mun,13,70,77,7,184,34,97,35,8,4,118,77,114,3,69,35,119,68,155,1,33,30,64,58,10,7,70,171,2,74,19,70,71
806020000,806000000,800000000,Tarangnan,Mun,332,2221,3011,160,2609,282,2659,454,159,259,1723,1518,2675,127,952,747,1525,1428,3210,92,345,1742,745,2148,255,169,2023,3579,93,1698,721,2436,1082
806021000,806000000,800000000,Villareal,Mun,245,2061,2118,171,3827,783,2476,453,158,159,2083,1539,2746,168,1239,830,2146,1466,2845,115,406,885,878,1404,187,207,2048,3472,109,1780,822,1987,1405
806023000,806000000,800000000,Zumarraga,Mun,218,2138,2347,177,2993,473,2333,337,171,174,2057,1360,2690,178,995,777,1716,1360,3373,83,394,1179,788,1421,235,164,2041,4335,83,1597,622,2135,1075
1208001000,1208000000,1200000000,Alabel,Mun,1580,7906,8316,752,11748,3469,9693,1122,614,547,10589,6928,9135,471,5144,2508,9049,5380,11997,336,1394,4073,2740,5093,772,608,8879,11847,385,10854,3895,8829,8198
1208002000,1208000000,1200000000,Glan,Mun,1441,9113,9823,805,19940,2174,9001,6932,778,719,13325,5947,9674,448,7776,3129,12610,6145,10990,323,5273,4302,8287,6085,744,539,9973,10820,367,9185,3436,9480,12468
1208003000,1208000000,1200000000,Kiamba,Mun,1143,7127,6937,498,9706,1124,7171,2573,651,447,9345,5739,6767,518,4514,2014,9421,4180,8798,244,2171,3042,3424,4065,810,469,8358,8830,338,7353,3141,5551,5983
1208004000,1208000000,1200000000,Maasim,Mun,969,4763,5242,412,7986,1050,5212,1057,484,403,6815,4008,4900,449,2708,1259,5702,2968,7316,272,975,2407,2006,3000,806,477,4810,7085,296,4902,2337,4489,4316
1208005000,1208000000,1200000000,Maitum,Mun,830,5381,4521,374,6890,698,6647,1528,405,490,6394,4555,6181,470,3594,2055,6362,2968,6757,183,1196,2070,2024,3044,592,431,4656,6635,232,5596,2354,6042,4132
1208006000,1208000000,1200000000,Malapatan,Mun,1109,4408,5079,516,7954,1623,5284,921,468,445,5763,4178,4951,355,2595,1411,4581,3745,7493,203,817,2369,1910,2951,648,342,4719,6805,261,5424,2309,5334,5186
1208007000,1208000000,1200000000,Malungon,Mun,2411,11916,11715,1203,15297,2568,11814,2823,1224,1224,13302,9233,11025,710,6735,2729,12014,6925,14190,675,2498,4526,5450,6810,1333,742,11297,12404,705,10722,5352,10352,10406
706101000,706100000,700000000,Enrique Villanueva,Mun,80,1258,1272,28,627,126,1386,141,47,55,496,925,1559,38,842,324,564,1175,1015,21,499,759,644,1055,56,44,923,1081,27,934,266,721,957
706102000,706100000,700000000,Larena,Mun,289,2739,3476,110,1461,309,3129,331,132,107,1075,1420,3123,90,1425,893,1235,2457,2579,80,505,2024,853,2741,259,136,2395,3033,93,2434,654,2212,1785
706103000,706100000,700000000,Lazi,Mun,480,3173,3642,258,2567,423,3562,661,204,214,1687,2720,3498,171,2218,897,1716,2812,3101,115,939,1791,1340,2403,294,170,2586,3398,152,2588,936,2555,3405
706104000,706100000,700000000,Maria,Mun,345,2103,2693,161,1721,318,2557,294,143,154,1267,1763,2525,125,1444,581,1231,1964,2200,93,678,1314,959,1896,281,173,1961,2545,131,1891,625,1933,1781
706105000,706100000,700000000,San Juan,Mun,366,2715,2845,285,1842,380,3070,880,240,159,1228,1898,2749,140,1443,927,1388,2655,2353,81,577,1260,891,1802,212,139,2100,2685,85,2175,646,1914,1767
706106000,706100000,700000000,Siquijor,Mun,722,5042,7311,392,4229,721,6279,900,441,452,3009,3884,6144,295,3122,1937,3537,4810,5760,233,922,3663,1823,5177,528,404,5469,6804,299,5483,1500,4377,3568
